script	status	duracao_ms	codigo_saida	inicio_utc	fim_utc	sha256_log
testar_adicao_quadradinhos_venn.sh	PASSOU	109	0	2026-07-19T01:36:16.910Z	2026-07-19T01:36:17.034Z	7b60746e14d8ed060ad31a4732ac89085656722a32a6e6e47019b8072674a127
testar_affordance_pickup.sh	PASSOU	1049	0	2026-07-19T01:36:17.060Z	2026-07-19T01:36:18.128Z	bc9a6e36d07d44e1a1a7624e6e853adabe5cce49d7f1d0b869a5a3ac8b3f86a8
testar_affordance_pickup_ui.sh	FALHOU	12197	1	2026-07-19T01:36:18.153Z	2026-07-19T01:36:30.369Z	6e25c57880d0e29c8ef76425a38fb1430098ba688c0f8359b87a237b64fe7e1d
testar_ajuda_contextual.sh	PASSOU	10132	0	2026-07-19T01:36:30.397Z	2026-07-19T01:36:40.546Z	d0c5f1fb45449bad1b573b820583ac82b787b9db91fbaac36ae409096df11d4a
testar_analise_apos_posicionamento.sh	PASSOU	13845	0	2026-07-19T01:36:40.571Z	2026-07-19T01:36:54.432Z	a65fbd7193d2873530169178ac2ff080d39a590991140f5d812e98e21ceea66a
testar_arraste_fisico.sh	PASSOU	2211	0	2026-07-19T01:36:54.460Z	2026-07-19T01:36:56.685Z	de419b32f60bef0e29da79447b9703bb0f8c38a14f33875486d3d0c8ed35d5b4
testar_arraste_fisico_ui.sh	PASSOU	12132	0	2026-07-19T01:36:56.710Z	2026-07-19T01:37:08.861Z	c441e5f90032b2f726c1a9f50a838cd325190ba71797b2348e57da3b9fa7396b
testar_aviso_termo_desconhecido.sh	PASSOU	2242	0	2026-07-19T01:37:08.890Z	2026-07-19T01:37:11.150Z	e7bf9839794e6978e4f85294c16b0c1ea7424157cecfcde9e53e19a142976235
testar_bloqueio_adicao_antes_vergnaud.sh	PASSOU	4079	0	2026-07-19T01:37:11.176Z	2026-07-19T01:37:15.274Z	ab58bfa6ac19aa10ad96dc99f12e1d3f75d76bdf82c00ece45f22196c4cf3003
testar_bloqueio_dinamico_idioma_curadoria.sh	PASSOU	105	0	2026-07-19T01:37:15.301Z	2026-07-19T01:37:15.421Z	1a107f07b2fb134b2a8424f9d784570735944d6846fc783c7398d2921d9ccc05
testar_bloqueio_dinamico_idioma_curadoria_ui.sh	PASSOU	6068	0	2026-07-19T01:37:15.447Z	2026-07-19T01:37:21.533Z	e57afd26526eae214e0ef52b38efe9e856e02723abe5cf224abca7f0e674b480
testar_bloqueio_representacoes_antes_vergnaud.sh	PASSOU	823	0	2026-07-19T01:37:21.561Z	2026-07-19T01:37:22.400Z	3d57daba995f7bf893533c1ae93ea5000667d2f4028f20c0b3c4aca51b1fc62a
testar_classificacao_interacao_eixo_inteiros.sh	PASSOU	1777	0	2026-07-19T01:37:22.425Z	2026-07-19T01:37:24.220Z	50c5a29d9edd36511c2c04436b5fb1676bf1ede8ab0eb4ce5d98371e1ab58bed
testar_comparacao_barras_curadoria.sh	PASSOU	10079	0	2026-07-19T01:37:24.250Z	2026-07-19T01:37:34.346Z	87c73db12b6233b52938c0bde0e8e09278644531bf77892f64562395b1108aad
testar_conclusao_mesma_categoria.sh	PASSOU	4993	0	2026-07-19T01:37:34.374Z	2026-07-19T01:37:39.385Z	a03f46ab8d5431c1c4454e8004f21f7da4ba217e9478810838f1b98bc1777495
testar_conclusao_modelagem.sh	PASSOU	8383	0	2026-07-19T01:37:39.424Z	2026-07-19T01:37:47.827Z	0e88ed8afeacc313f280721d34d9ed563d0942444f3551b24ee7ef3c6fbab271
testar_consistencia_incognita_curada.sh	PASSOU	1053	0	2026-07-19T01:37:47.853Z	2026-07-19T01:37:48.928Z	7fea6c2d8e59529b87eb0c05a6282f73b022144d4ddc1561e40741abb10e718d
testar_contratos_unidades_venn.sh	PASSOU	963	0	2026-07-19T01:37:48.956Z	2026-07-19T01:37:49.936Z	10df9b67871cda92e6855f72ecd180ec1c08d93d31cecf0fdcfffb5edbd18e99
testar_curadoria_semantica_somente_original.sh	PASSOU	113	0	2026-07-19T01:37:49.961Z	2026-07-19T01:37:50.092Z	58dbab20762dee7abd39ef8499badcce071edeb3109e0e622e90372cf574a5ef
testar_cursores_pickup_estados.sh	PASSOU	83	0	2026-07-19T01:37:50.118Z	2026-07-19T01:37:50.215Z	9c48084f36367c14399dbf6b2fc73ba3c2296b23c18f6bac68f0b210539a7d0f
testar_distribuicao_funil_trapezoidal.sh	PASSOU	3006	0	2026-07-19T01:37:50.240Z	2026-07-19T01:37:53.265Z	b8665e449f1d440880ddd92f76ad889c841442a75885ff2332536b67c993fbc7
testar_elementos_matematicos_imersos_texto.sh	PASSOU	2133	0	2026-07-19T01:37:53.295Z	2026-07-19T01:37:55.448Z	2d3a8e57c234475c46892b4ed5ec21b8ccfba9e33a5fa6a23721322fedbcd72c
testar_email_relato_bug.sh	PASSOU	1947	0	2026-07-19T01:37:55.474Z	2026-07-19T01:37:57.438Z	888150e16a1ae504c5352b7b8bc6d9354c32d598aa40d6828101940472cb8f5d
