id,data,classe,fase,objetivo,proposta_ia,intervencao_pesquisador,conhecimento,resultado,impacto
C01,2026-06-30,CONSISTENCIA_TEORICO_METODOLOGICA,Fidelidade teórica,Preservar as representações formais,Inserção de elementos gráficos auxiliares,Retirar elementos tracejados e estranhos ao modelo,Conhecimento teórico,MODIFICADA,Regra permanente de fidelidade representacional
C02,2026-06-30,ESTRUTURAL_GENERALIZACAO,Situações-problema,Ampliar o corpus de problemas,Carregamento de exemplos isolados,Agrupar por categoria e sortear situações curadas,Conhecimento de domínio,MODIFICADA,Repositório organizado por categoria
C03,2026-07-01,CONSISTENCIA_TEORICO_METODOLOGICA,Interação,Permitir manipulação direta do enunciado,Arraste amplo de elementos,Restringir aos números e ao ponto de interrogação,Design de interação,MODIFICADA,Modelagem dependente da ação explícita do usuário
C04,2026-07-01,ESTRUTURAL_GENERALIZACAO,Scaffolding,Oferecer retorno durante o arraste,Conjunto de efeitos visuais acoplados,"Organizar proximidade, destaque, passagem, affordance e atração magnética",Arquitetura e IHC,MODIFICADA,Strategy para estilos de proximidade
C05,2026-07-01,CONSISTENCIA_TEORICO_METODOLOGICA,Semântica numérica,Representar sinais de transformação,Digitação de número negativo,Separar valor e sinal em controles distintos,Conhecimento matemático,MODIFICADA,Valor e sinal tornaram-se dimensões independentes
C06,2026-07-01,REFINAMENTO_VISUAL_OPERACIONAL,Representações compostas,Exibir dois passos de transformação,Área fixa com ocultação parcial,Aumentar e centralizar a área de diagramas,Design visual,MODIFICADA,Renderização adaptada a múltiplos diagramas
C07,2026-07-01,CONSISTENCIA_TEORICO_METODOLOGICA,Interação,Editar elementos do diagrama,Edição externa ao diagrama,Usar duplo clique sobre quadrados e círculos,Design de interação,MODIFICADA,Edição direta incorporada como estilo
C08,2026-07-02,ESTRUTURAL_GENERALIZACAO,Log,Distinguir autoria das ações,Agente tratado de modo incompleto,Preservar S para sujeito e C para computador,Metodologia de análise,MODIFICADA,Log com autoria explícita
C09,2026-07-02,ESTRUTURAL_GENERALIZACAO,Log,Distinguir ações sem finalidade matemática,Ações neutras e de interface agrupadas,Separar ações neutras de ações de interface,Metodologia de análise,MODIFICADA,Taxonomia do log mais precisa
C10,2026-07-02,REFINAMENTO_VISUAL_OPERACIONAL,Visualização,Analisar percursos de interação,Redes redundantes e pouco legíveis,Distinguir S/C e organizar redes verticalmente,IHC e análise de dados,MODIFICADA,Redes de transição mais interpretáveis
C11,2026-07-05,ESTRUTURAL_GENERALIZACAO,Consistência,Sincronizar diagramas em dois passos,Representações independentes,Usar o estado final do passo 1 como estado inicial do passo 2,Conhecimento matemático,MODIFICADA,Sincronização entre representações encadeadas
C12,2026-07-05,ESTRUTURAL_GENERALIZACAO,Arquitetura,Organizar funcionalidades de proximidade,Recursos dispersos no código,Mover recursos para Scaffolding/Proximidade,Engenharia de software,MODIFICADA,Responsabilidades mais localizadas
C13,2026-07-13,ESTRUTURAL_GENERALIZACAO,Internacionalização,Oferecer quatro idiomas,Tradução com risco de alterar estado,Restringir troca de idioma à camada textual,Arquitetura e internacionalização,MODIFICADA,Modelagem preservada entre idiomas
C14,2026-07-13,REFINAMENTO_VISUAL_OPERACIONAL,Interface,Reduzir diálogo de entrada numérica,Janela ampla e mensagem extensa,Usar diálogo compacto em duas linhas,Usabilidade,MODIFICADA,Menor carga visual
C15,2026-07-13,ESTRUTURAL_GENERALIZACAO,Análise,Associar explicações à resolução,Tela genérica desvinculada da tentativa,"Organizar tarefa matemática, interação, pesquisador e fotografia",Metodologia,MODIFICADA,Análise vinculada à tentativa
C16,2026-07-13,ESTRUTURAL_GENERALIZACAO,Rastreabilidade,Mostrar tentativas ao pesquisador,Exibir identificador técnico completo,Apresentar número ordinal por situação,Metodologia,MODIFICADA,Rastreabilidade legível sem perder unicidade
C17,2026-07-13,ESTRUTURAL_GENERALIZACAO,Invariantes,Registrar formas simbólicas,Campo textual livre,"Usar catálogo, códigos e construtor controlado",Teoria e metodologia,MODIFICADA,Invariantes normalizados
C18,2026-07-13,ESTRUTURAL_GENERALIZACAO,Log,Associar invariantes às ações,Registrar invariante apenas ao final,Repetir os quatro campos em cada ação,Análise de dados,MODIFICADA,Linhas autossuficientes para análise
C19,2026-07-13,CONSISTENCIA_TEORICO_METODOLOGICA,Autorrelato,Registrar dificuldade percebida,Classificação binária ou do pesquisador,Usar Fácil/Intermediária/Difícil pelo usuário,Metodologia,MODIFICADA,Autorrelato com três níveis
C20,2026-07-13,REFINAMENTO_VISUAL_OPERACIONAL,Interface,Evitar explicações excessivas,Campos abertos extensos,Limitar caracteres e habilitar explicação após a escolha,Usabilidade e metodologia,MODIFICADA,Tela compacta e dados mais comparáveis
C21,2026-07-13,ESTRUTURAL_GENERALIZACAO,Domínio,Montar explicações por categoria,Listas fixas de campos,Gerar um bloco por elemento semântico da categoria,Modelagem de domínio,MODIFICADA,Renderização dinâmica
C22,2026-07-13,REFINAMENTO_VISUAL_OPERACIONAL,Interface,Manter alinhamento dos painéis,Coordenadas isoladas,Compartilhar margens e recalcular no redimensionamento,Design visual,MODIFICADA,Responsividade consistente
C23,2026-07-13,ESTRUTURAL_GENERALIZACAO,Curadoria,Reduzir confusão entre campos,Formulário amplo com rolagem,Mostrar somente elementos válidos da categoria,Modelagem de domínio,MODIFICADA,Curadoria dinâmica sem campos irrelevantes
C24,2026-07-13,ESTRUTURAL_GENERALIZACAO,Arquitetura,Definir a fonte dos elementos semânticos,Fonte global indistinta,Usar a categoria apenas como fonte da tarefa matemática,Arquitetura e teoria,MODIFICADA,Separação entre domínio matemático e interação
C25,2026-07-13,ESTRUTURAL_GENERALIZACAO,Log,Distinguir tipos e consequências das ações,Ação genérica,Separar MODELAGEM/NAVEGABILIDADE e natureza/efeito,Metodologia e arquitetura,MODIFICADA,Log analiticamente mais preciso
C26,2026-07-14,ESTRUTURAL_GENERALIZACAO,Comparação conceitual,Mostrar mesma solução em categorias distintas,Painéis independentes ou cinco colunas,Exigir tabela com quatro colunas e categoria sobre o enunciado,Design pedagógico,MODIFICADA,Novo modo comparativo tabular
C27,2026-07-14,CONSISTENCIA_TEORICO_METODOLOGICA,Representação,Separar categoria de instância,Diagrama da categoria preenchido e interativo,"Torná-lo vazio, estático e não interativo",Conhecimento teórico,MODIFICADA,Distinção explícita entre estrutura e instância
